2019-04-08 09:25:58,205 [Worker-9] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: global.sesoc:www:1.0.0-BUILD-SNAPSHOT @ C:\project_3W\project_3W\pom.xml.
2019-04-08 10:46:53,498 [Worker-54] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-04-08 10:47:48,704 [Worker-46] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-08 10:47:48,710 [Worker-46] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-04-08 10:47:48,713 [Worker-46] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-08 10:47:48,719 [Worker-46] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-04-08 10:48:57,332 [Worker-60] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-08 10:48:57,343 [Worker-60] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-04-08 10:48:57,349 [Worker-60] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-08 10:48:57,354 [Worker-60] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-04-08 10:49:50,493 [Worker-59] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-08 10:49:50,497 [Worker-59] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-04-08 10:49:50,501 [Worker-59] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-08 10:49:50,505 [Worker-59] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
